0	4	0-4353	-1	5
0	4	0-6355	-1	5
0	4	9-8320	-1	5
0	4	0-5898	1	5
0	4	15-642	-1	5
0	5	0-4353	-1	6
0	5	0-6355	-1	6
0	5	9-8320	1	6
0	6	0-4353	1	7
0	7	0-4353	-1	8
0	7	0-6355	-1	8
0	7	9-8320	-1	8
0	7	0-5898	-1	8
0	7	0-5765	1	8
0	30	0-4353	-1	44
0	30	0-6355	-1	44
0	30	9-8320	-1	44
0	30	0-5898	1	44
0	30	15-642	-1	44
0	136	0-4353	1	187
0	182	0-4353	-1	245
0	182	0-6355	1	245
0	338	0-4353	-1	477
0	338	0-6355	1	477
0	486	0-4353	-1	799
0	486	0-6355	-1	799
0	486	9-8320	1	799
1	9	2-7870	-1	12
1	9	0-6725	-1	12
1	9	13-7252	1	12
1	10	2-7870	1	14
1	11	2-7870	1	16
1	244	2-7870	-1	334
1	244	0-6725	1	334
1	274	2-7870	1	375
2	7	4-7385	-1	8
2	7	0-4820	-1	8
2	7	0-3994	-1	8
2	7	0-5457	-1	8
2	7	0-5431	-1	8
2	7	0-5674	-1	8
2	7	2-7383	-1	8
2	12	4-7385	-1	18
2	12	0-4820	-1	18
2	12	0-3994	-1	18
2	12	0-5457	-1	18
2	12	0-5431	-1	18
2	12	0-5674	-1	18
2	12	2-7383	-1	18
2	13	4-7385	-1	19
2	13	0-4820	-1	19
2	13	0-3994	-1	19
2	13	0-5457	-1	19
2	13	0-5431	-1	19
2	13	0-5674	-1	19
2	13	2-7383	-1	19
2	14	4-7385	-1	20
2	14	0-4820	-1	20
2	14	0-3994	-1	20
2	14	0-5457	-1	20
2	14	0-5431	-1	20
2	14	0-5674	-1	20
2	14	2-7383	-1	20
2	16	4-7385	-1	25
2	16	0-4820	-1	25
2	16	0-3994	-1	25
2	16	0-5457	-1	25
2	16	0-5431	-1	25
2	16	0-5674	-1	25
2	16	2-7383	-1	25
2	19	4-7385	-1	30
2	19	0-4820	-1	30
2	19	0-3994	-1	30
2	19	0-5457	-1	30
2	19	0-5431	-1	30
2	19	0-5674	-1	30
2	19	2-7383	-1	30
2	20	4-7385	-1	31
2	20	0-4820	-1	31
2	20	0-3994	-1	31
2	20	0-5457	-1	31
2	20	0-5431	-1	31
2	20	0-5674	-1	31
2	20	2-7383	-1	31
2	21	4-7385	-1	32
2	21	0-4820	-1	32
2	21	0-3994	-1	32
2	21	0-5457	-1	32
2	21	0-5431	-1	32
2	21	0-5674	1	32
2	21	0-4328	1	32
2	105	4-7385	-1	145
2	105	0-4820	-1	145
2	105	0-3994	-1	145
2	105	0-5457	-1	145
2	105	0-5431	-1	145
2	105	0-5674	-1	145
2	105	2-7383	-1	145
2	117	4-7385	-1	160
2	117	0-4820	-1	160
2	117	0-3994	-1	160
2	117	0-5457	-1	160
2	117	0-5431	-1	160
2	117	0-5674	-1	160
2	117	2-7383	-1	160
2	260	4-7385	-1	353
2	260	0-4820	-1	353
2	260	0-3994	-1	353
2	260	0-5457	-1	353
2	260	0-5431	-1	353
2	260	0-5674	-1	353
2	260	2-7383	1	353
2	260	0-4467	-1	353
2	260	0-3502	-1	353
2	286	4-7385	-1	394
2	286	0-4820	-1	394
2	286	0-3994	-1	394
2	286	0-5457	-1	394
2	286	0-5431	-1	394
2	286	0-5674	-1	394
2	286	2-7383	-1	394
2	327	4-7385	-1	459
2	327	0-4820	-1	459
2	327	0-3994	-1	459
2	327	0-5457	-1	459
2	327	0-5431	-1	459
2	327	0-5674	-1	459
